2022-11-18 09:23:48 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map_downloaded.png
2022-11-18 09:38:38 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:38 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:38 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:38 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:38 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:39 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:39 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:39 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:39 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:39 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:40 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:40 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:40 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:40 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:40 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:41 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:41 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:41 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:41 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:41 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:42 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:42 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:42 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:42 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:42 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:43 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:43 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:43 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:43 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:43 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:44 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:44 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:44 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:44 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:44 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:45 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:45 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:45 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:45 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:45 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:46 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:46 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:46 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:46 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:46 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:47 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:47 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:47 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:47 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:47 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:48 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:48 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:48 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:48 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:48 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:49 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:49 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:49 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:49 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:49 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:50 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:50 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:50 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:50 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:50 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:51 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:51 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:51 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:51 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:51 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:52 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:52 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:52 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:52 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:52 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:53 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:53 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:53 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
