2022-12-02 10:47:22 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:48:00 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:48:36 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:49:08 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:49:33 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:50:13 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:50:28 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:51:06 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:51:07 [LCM] CONNECT -> INIT START
2022-12-02 10:51:07 [LCM] CONNECT -> INIT START
2022-12-02 10:51:07 [LCM] CONNECT -> INIT START
2022-12-02 10:51:07 [LCM] CONNECT -> INIT START
2022-12-02 10:51:07 [LCM] CONNECT -> INIT START
2022-12-02 10:51:08 [LCM] CONNECT -> INIT START
2022-12-02 10:51:08 [LCM] CONNECT -> INIT START
2022-12-02 10:51:08 [LCM] CONNECT -> INIT START
2022-12-02 10:51:08 [LCM] CONNECT -> INIT START
2022-12-02 10:51:08 [LCM] CONNECT -> INIT START
2022-12-02 10:51:09 [LCM] CONNECT -> INIT START
2022-12-02 10:51:09 [LCM] CONNECT -> INIT START
2022-12-02 10:51:09 [LCM] CONNECT -> INIT START
2022-12-02 10:51:33 [LCM] CONNECT -> UI_STATE = READY
2022-12-02 10:51:35 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:52:18 [LCM] DISCONNECT -> UI_STATE = NONE
2022-12-02 10:52:49 [LCM] CONNECT -> INIT START
2022-12-02 10:52:50 [LCM] CONNECT -> INIT START
2022-12-02 10:52:50 [LCM] CONNECT -> INIT START
2022-12-02 10:52:50 [LCM] CONNECT -> INIT START
2022-12-02 10:52:50 [LCM] CONNECT -> INIT START
2022-12-02 10:52:50 [LCM] CONNECT -> INIT START
2022-12-02 10:52:51 [LCM] CONNECT -> INIT START
2022-12-02 10:52:51 [LCM] CONNECT -> INIT START
2022-12-02 10:52:51 [LCM] CONNECT -> INIT START
2022-12-02 10:52:51 [LCM] CONNECT -> INIT START
2022-12-02 10:52:51 [LCM] CONNECT -> INIT START
2022-12-02 10:52:52 [LCM] CONNECT -> INIT START
2022-12-02 10:52:52 [LCM] CONNECT -> INIT START
2022-12-02 10:52:52 [LCM] CONNECT -> INIT START
2022-12-02 10:52:52 [LCM] CONNECT -> INIT START
2022-12-02 10:52:52 [LCM] CONNECT -> INIT START
2022-12-02 10:52:53 [LCM] CONNECT -> INIT START
2022-12-02 10:52:53 [LCM] CONNECT -> UI_STATE = READY
2022-12-02 10:53:00 [LCM] DISCONNECT -> UI_STATE = NONE
2022-12-02 10:53:27 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:54:13 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:56:32 [LCM] CONNECT -> INIT START
2022-12-02 10:56:32 [LCM] CONNECT -> INIT START
2022-12-02 10:56:32 [LCM] CONNECT -> INIT START
2022-12-02 10:56:33 [LCM] CONNECT -> INIT START
2022-12-02 10:56:33 [LCM] CONNECT -> UI_STATE = READY
2022-12-02 10:56:34 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:57:21 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:58:17 [LCM] CONNECT -> INIT START
2022-12-02 10:58:17 [LCM] CONNECT -> INIT START
2022-12-02 10:58:17 [LCM] CONNECT -> INIT START
2022-12-02 10:58:17 [LCM] CONNECT -> INIT START
2022-12-02 10:58:18 [LCM] CONNECT -> INIT START
2022-12-02 10:58:18 [LCM] CONNECT -> INIT START
2022-12-02 10:58:18 [LCM] CONNECT -> INIT START
2022-12-02 10:58:18 [LCM] CONNECT -> INIT START
2022-12-02 10:58:18 [LCM] CONNECT -> INIT START
2022-12-02 10:58:19 [LCM] CONNECT -> INIT START
2022-12-02 10:58:19 [LCM] CONNECT -> INIT START
2022-12-02 10:58:19 [LCM] CONNECT -> INIT START
2022-12-02 10:58:19 [LCM] CONNECT -> INIT START
2022-12-02 10:58:19 [LCM] CONNECT -> INIT START
2022-12-02 10:58:20 [LCM] CONNECT -> INIT START
2022-12-02 10:58:20 [LCM] CONNECT -> INIT START
2022-12-02 10:58:20 [LCM] CONNECT -> INIT START
2022-12-02 10:58:20 [LCM] CONNECT -> INIT START
2022-12-02 10:58:20 [LCM] CONNECT -> INIT START
2022-12-02 10:58:21 [LCM] CONNECT -> INIT START
2022-12-02 10:58:21 [LCM] CONNECT -> INIT START
2022-12-02 10:58:21 [LCM] CONNECT -> INIT START
2022-12-02 10:58:21 [LCM] CONNECT -> INIT START
2022-12-02 11:01:50 [LCM] CONNECT -> INIT START
2022-12-02 11:01:50 [LCM] CONNECT -> INIT START
2022-12-02 11:01:50 [LCM] CONNECT -> INIT START
2022-12-02 11:01:50 [LCM] CONNECT -> INIT START
2022-12-02 11:01:51 [LCM] CONNECT -> INIT START
2022-12-02 11:01:51 [LCM] CONNECT -> INIT START
2022-12-02 11:01:51 [LCM] CONNECT -> INIT START
2022-12-02 11:01:51 [LCM] CONNECT -> INIT START
2022-12-02 11:01:51 [LCM] CONNECT -> INIT START
2022-12-02 11:01:52 [LCM] CONNECT -> INIT START
2022-12-02 11:01:52 [LCM] CONNECT -> INIT START
2022-12-02 11:01:52 [LCM] CONNECT -> INIT START
2022-12-02 11:01:52 [LCM] CONNECT -> INIT START
2022-12-02 11:01:52 [LCM] CONNECT -> INIT START
2022-12-02 11:02:30 [LCM] CONNECT -> INIT START
2022-12-02 11:02:30 [LCM] CONNECT -> INIT START
2022-12-02 11:02:30 [LCM] CONNECT -> INIT START
2022-12-02 11:02:30 [LCM] CONNECT -> INIT START
2022-12-02 11:02:31 [LCM] CONNECT -> INIT START
2022-12-02 11:02:31 [LCM] CONNECT -> INIT START
2022-12-02 11:02:31 [LCM] CONNECT -> INIT START
2022-12-02 11:02:31 [LCM] CONNECT -> INIT START
2022-12-02 11:02:31 [LCM] CONNECT -> INIT START
